sein : breast
tumeur : tumor
tumeur : tumour
tamoxifène : tamoxifen
chimiothérapie : chemotherapy
curage : dissection
trastuzumab : trastuzumab
radiothérapie : radiotherapy
radiothérapie : irradiation
dépistage : screening
ganglion : node
chirurgie : surgery
récepteur : receptor
oestrogène : oestrogen
gène : gene
mastectomie : mastectomy
mammographie : mammography
inhibiteur : inhibitor
inhibiteur : inhibitors
diagnostic : diagnosis
diagnostic : diagnostic
adjuvant : adjuvant
métastase : metastasis
anthracycline : anthracycline
anthracycline : antracycline
hormonothérapie : hormonotherapy
paclitaxel : paclitaxel
irradiation : radiation
lésion : lesion
micrométastase : micrometastasis
micrométastase : micrometastases
docétaxel : docetaxel
pronostic : prognosis
injection : injection
irm : irm
toxicité : toxicity
exérèse : excision
protéine : protein
lymphoedème : lymphoedema
lymphoedème : lymphedema
aromatase : aromatase
anastrozole : anastrozole
taxane : taxane
docetaxel : docetaxel
tumorectomie : tumorectomy
tumorectomie : tumourectomy
létrozole : letrozole
grossesse : pregnancy
immunohistochimie : immunohistochimy
biopsie : biopsy
cyclophosphamide : cyclophosphamide
échographie : ultrasound
carcinome : carcinoma
placebo : placebo
anticorps : antibody
ménopause : menopause
lambeau : flap
morbidité : morbidity
marqueur : marker
lymphocèle : Lymphocele
adn : dna
mutation : mutation
surexpression : over-expression
drainage : drainage
exémestane : exemestane
pronostique : prognostic
monothérapie : monotherapy
kinase : kinase
doxorubicine : doxorubicin
épirubicine : epirubicin
pathologie : pathology
mortalité : mortality
anomalie : abnormality
oestradiol : oestradiol
cancérologie : cancerology
symptôme : symptom
résistance : resistance
apoptose : apoptosis
clinicien : clinician
altération : alteration
capécitabine : capecitabine
ovaire : ovary
aisselle : axilla
prolifération : proliferation
adriamycine : adriamycin
oncologue : oncologist
scintigraphie : scintigraphy
locus : locus
cardiotoxicité : cardiotoxicity
tamoxiféne : tamoxifen
radiologue : radiologist
exemestane : exemestane
fibrose : fibrosis
thérapie : therapy
infertilité : infertility
ablation : ablation
ablation : excision
ablation : extirpation
ovocyte : oocyte
celecoxib : celecoxib
randomisation : randomisation
estradiol : oestradiol
follicule : follicle
ostéoporose : osteoporosis
guérison : recovery
anxiété : anxiety
asthénie : asthenia
asthénie : astheny
progestérone : progesterone
carcinogenèse : carcinogenesis
letrozole : letrozole
carcinogène : carcinogen
raloxifène : raloxifene
arthralgie : arthralgia
